Date,FaceBook Close Price,Amazon Close Price,Netflix Close Price,Google Close Price
10/3/2014 ,77.44,322.74,65.65,575.28
10/6/2014 ,77.555,322.2,66.21,577.35
10/7/2014 ,76.29,316.98,65.18,563.74
10/8/2014 ,77.52,322.7,66.6943,572.5
10/9/2014 ,75.91,315.37,65.95,560.88
10/10/2014,72.91,311.39,64.58,544.49
10/13/2014,72.99,306.45,62.6543,533.21
10/14/2014,73.59,308.31,64.16,537.94
10/15/2014,73.21,305.97,64.08,530.03
10/16/2014,72.63,302.86,51.67,524.51
10/17/2014,75.95,303.64,51.01,511.17
10/20/2014,76.95,306.21,51.3171,520.84
10/21/2014,78.69,315.33,52.28,526.54
10/22/2014,78.37,312.97,53.52,532.71
10/23/2014,80.04,313.18,54.72,543.98
10/24/2014,80.67,287.06,55,539.78
10/27/2014,80.28,289.97,54.2,540.77
10/28/2014,80.77,295.59,55.17,548.9
10/29/2014,75.86,294.12,54.0143,549.33
10/30/2014,74.11,299.07,54.14,550.31
10/31/2014,74.99,305.46,56.11,559.08
11/3/2014 ,73.88,305.72,55.49,555.22
11/4/2014 ,75.76,302.81,54.68,554.11
11/5/2014 ,74.83,296.52,54.34,545.92
11/6/2014 ,75.26,296.64,54.76,542.04
11/7/2014 ,75.6,299.86,54.88,541.01
11/10/2014,75,305.11,55.32,547.49
11/11/2014,74.61,312.01,54.65,550.29
11/12/2014,74.72,311.51,54.8371,547.31
11/13/2014,74.25,316.48,54.201,545.38
11/14/2014,74.88,327.82,55.149,544.4
11/17/2014,74.24,323.05,54.4486,536.51
11/18/2014,74.34,324.93,54.43,535.03
11/19/2014,73.33,326.54,51.87,536.99
11/20/2014,73.6,330.54,52.59,534.83
11/21/2014,73.75,332.63,51.47,537.5
11/24/2014,74.01,335.64,50.9243,539.27
11/25/2014,75.63,335.04,49.8557,541.08
11/26/2014,77.62,333.57,50.1657,540.37
11/28/2014,77.7,338.64,49.51,541.83
12/1/2014 ,75.1,326,48.83,533.8
12/2/2014 ,75.46,326.31,50.33,533.75
12/3/2014 ,74.88,316.5,50.73,531.32
12/4/2014 ,75.24,316.93,50.09,537.31
12/5/2014 ,76.36,312.63,50.13,525.26
12/8/2014 ,76.52,306.64,48.5,526.98
12/9/2014 ,76.84,312.5,49.11,533.37
12/10/2014,76.18,305.84,47.76,526.06
12/11/2014,77.73,307.36,47.8,528.34
12/12/2014,77.83,307.32,47.78,518.66
12/15/2014,76.99,306.07,46.72,513.8
12/16/2014,74.69,295.06,45.21,495.39
12/17/2014,76.11,298.88,47.6643,504.89
12/18/2014,78.4,297.73,47.77,511.1
12/19/2014,79.88,299.9,48.59,516.35
12/22/2014,81.45,306.54,48.1,524.87
12/23/2014,80.61,306.285,48.0614,530.59
12/24/2014,80.77,303.03,48.87,528.77
12/26/2014,80.775,309.09,48.5786,534.03
12/29/2014,80.02,312.04,48.85,530.33
12/30/2014,79.22,310.3,49.033,530.42
12/31/2014,78.02,310.35,48.8,526.4
1/2/2015 ,78.45,308.52,49.85,524.81
1/5/2015 ,77.19,302.19,47.3114,513.87
1/6/2015 ,76.15,295.29,46.5,501.96
1/7/2015 ,76.15,298.42,46.74,501.1
1/8/2015 ,78.175,300.46,47.779,502.68
1/9/2015 ,77.74,296.93,47.04,496.17
1/12/2015 ,76.72,291.41,45.55,492.55
